query_id,query,service_id,intent,region,device,checked_at,rank,url,canonical_url,title,source_file,method
Q000007,благоустройство участка ярославская область,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:40+03:00,3,https://www.avito.ru/yaroslavskaya_oblast/predlozheniya_uslug?q=%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE+%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0,https://avito.ru/yaroslavskaya_oblast/predlozheniya_uslug/,благоустройство участка в Ярославской области...,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000007,благоустройство участка ярославская область,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:40+03:00,4,https://www.dizainsada.ru/,https://dizainsada.ru/,Благоустройство территорий,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000007,благоустройство участка ярославская область,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:40+03:00,5,https://uslugi.yandex.ru/16-yaroslavl/category?text=%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE+%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0,https://uslugi.yandex.ru/16-yaroslavl/category/,Благоустройство участка в Ярославле: 117...,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000007,благоустройство участка ярославская область,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:40+03:00,6,https://atlant76.com/landshaftnye-raboty/,https://atlant76.com/landshaftnye-raboty/,Ландшафтный дизайн дачного участка под ключ — услуги...,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000007,благоустройство участка ярославская область,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:40+03:00,7,https://landshaftniy-dizayn.ru/region/yaroslavl/blagoustroystvo/territorii/,https://landshaftniy-dizayn.ru/region/yaroslavl/blagoustroystvo/territorii/,Благоустройство территории под ключ в Ярославле,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000007,благоустройство участка ярославская область,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:40+03:00,8,https://om-garden.ru/,https://om-garden.ru/,OM-GARDEN | Ландшафтный дизайн | Ярославль,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000007,благоустройство участка ярославская область,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:40+03:00,9,https://yarlandshaft.ru/,https://yarlandshaft.ru/,"ООО ""Ландшафт"" - ландшафтный дизайн в Ярославле...",yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000007,благоустройство участка ярославская область,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:40+03:00,10,https://progarden.group/blagoustroystvo,https://progarden.group/blagoustroystvo/,Ландшафтный дизайн в Ярославле | ProGardenGroup,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000008,благоустройство участков ярославль,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:42+03:00,1,https://exp76.ru/,https://exp76.ru/,Благоустройство участков под ключ в Рыбинске...,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000008,благоустройство участков ярославль,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:42+03:00,2,https://www.dizainsada.ru/,https://dizainsada.ru/,Благоустройство территорий,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000008,благоустройство участков ярославль,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:42+03:00,3,https://www.avito.ru/yaroslavl/predlozheniya_uslug?q=%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE+%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0,https://avito.ru/yaroslavl/predlozheniya_uslug/,благоустройство участка в Ярославле - цены и отзывы,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000008,благоустройство участков ярославль,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:42+03:00,4,https://yaroslavl.blago-s.ru/,https://yaroslavl.blago-s.ru/,Благоустройство участка и территории частного дома...,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000008,благоустройство участков ярославль,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:42+03:00,5,https://yaroslavl.kamenclub.ru/services/blagoustroystvo-uchastka/,https://yaroslavl.kamenclub.ru/services/blagoustroystvo-uchastka/,Советы по ландшафтному оформлению участка...,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
Q000008,благоустройство участков ярославль,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:42+03:00,6,https://uslugi.yandex.ru/16-yaroslavl/category?text=%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE+%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0,https://uslugi.yandex.ru/16-yaroslavl/category/,Благоустройство участка в Ярославле: 117...,yandex-organic-2026-08-20-part-002.jsonl,live_yandex_organic
